DB_Number,Size,Has_Data,First_32_Bytes_Hex,First_INT,First_REAL,Timestamp
244,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.491272
245,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.517283
246,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.543099
247,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.567455
248,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.593283
249,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.617783
250,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.644819
251,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.669636
252,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.696809
253,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.722050
254,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.747894
255,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.773527
256,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.800589
257,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.827480
258,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.851597
259,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.878130
260,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.906564
261,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.940353
262,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.967265
263,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.992674
264,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:15.017512
265,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:15.044626
266,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:15.069509
267,0,False,,,,2025-07-21T15:43:15.103363
268,0,False,,,,2025-07-21T15:43:15.140484
269,0,False,,,,2025-07-21T15:43:15.173991
270,0,False,,,,2025-07-21T15:43:15.202514
271,0,False,,,,2025-07-21T15:43:15.239162
272,0,False,,,,2025-07-21T15:43:15.274834
273,0,False,,,,2025-07-21T15:43:15.308670
274,0,False,,,,2025-07-21T15:43:15.349074
275,0,False,,,,2025-07-21T15:43:15.390405
276,0,False,,,,2025-07-21T15:43:15.423138
277,0,False,,,,2025-07-21T15:43:15.452060
278,0,False,,,,2025-07-21T15:43:15.489188
279,0,False,,,,2025-07-21T15:43:15.518628
280,0,False,,,,2025-07-21T15:43:15.549666
281,0,False,,,,2025-07-21T15:43:15.593434
282,0,False,,,,2025-07-21T15:43:15.625615
283,0,False,,,,2025-07-21T15:43:15.655732
284,0,False,,,,2025-07-21T15:43:15.697092
285,0,False,,,,2025-07-21T15:43:15.726519
286,0,False,,,,2025-07-21T15:43:15.759721
287,0,False,,,,2025-07-21T15:43:15.796280
288,0,False,,,,2025-07-21T15:43:15.825029
289,0,False,,,,2025-07-21T15:43:15.857600
290,0,False,,,,2025-07-21T15:43:15.896413
291,0,False,,,,2025-07-21T15:43:15.927086
